Scenario_No,Run_No,TT_seg_len,Avg_TT,Avg_TT_CHGV,Max_TT,Max_TT_CHGV,std_TT,std_TT_21,Max_Queue_Len_ramp1,Avg_Queue_Len_ramp1,Std_Queue_ramp1,Max_Queue_Len_freln1,Avg_Queue_freln1,Std_Queue_freln1,Max_Queue_Len_ramp2,Avg_Queue_Len_ramp2,Std_Queue_ramp2,Max_Queue_Len_freln2,Avg_Queue_freln2,Std_Queue_freln2
Scenario10,2,5499.95,61.3534,62.0006,64.8321,71.2045,1.60284,2.62547,169.5,43.8153,49.5519,140.947,13.75,26.2144,182.817,35.4092,51.1192,78.3106,13.329,21.6687
Scenario10,3,5499.95,62.2396,62.1748,69.479,68.7231,2.26002,2.68992,164.703,26.5897,41.8704,119.157,10.0403,23.6907,197.355,54.6649,61.3386,141.816,30.6741,40.5968
Scenario10,4,5499.95,62.7375,63.272,74.698,72.3362,2.7779,3.6386,164.355,35.0971,50.0745,100.548,14.7471,26.5016,175.158,58.6394,48.5206,167.62,31.8916,40.5785
Scenario10,5,5499.95,61.646,62.6986,65.5656,69.985,1.70659,3.26146,161.938,37.3122,48.1449,139.565,17.7213,30.7101,216.051,44.357,59.1906,227.097,20.8951,42.8753
Scenario11,1,3800,43.1496,43.332,58.0288,57.9065,3.54517,3.43745,182.113,25.9546,46.9364,140.32,11.9946,27.2482,193.862,34.7132,48.157,287.897,30.0112,65.5899
Scenario11,2,3800,42.6088,42.5842,51.4331,55.8784,1.872,2.62965,171.921,35.7001,46.1105,143.522,12.7465,25.7114,178.373,43.0873,52.2673,120.296,20.7496,31.4959
Scenario11,3,3800,42.9613,43.0898,53.1519,51.883,2.21542,2.61932,137.192,31.238,41.3576,121.743,11.8247,25.4414,173.441,39.6356,47.0905,182.603,15.8893,29.3232
Scenario11,4,3800,44.3162,45.1431,57.7051,57.9317,3.98102,4.76586,149.951,38.9558,49.494,103.135,16.9644,28.8594,138.133,51.9595,46.4248,327.561,45.5967,73.8441
Scenario11,5,3800,43.1405,43.1891,56.0971,55.9946,3.15223,3.715,196.411,37.5422,52.1956,117.794,18.6167,31.1202,148.359,39.8904,49.3008,320.886,26.795,56.9588
Scenario12,1,5499.95,61.9838,62.4038,72.4797,73.4402,2.76603,3.57212,179.692,26.4474,46.9156,137.733,11.3583,26.3549,207.637,57.507,61.9649,144.678,24.7925,34.0278
Scenario12,2,5499.95,61.4783,61.6962,67.109,71.2045,1.70676,2.7495,169.5,36.8968,45.8259,140.947,12.2972,25.437,216.97,45.425,55.8308,104.516,18.4429,26.171
Scenario12,3,5499.95,62.1533,62.0563,70.103,70.2443,2.24951,2.57029,134.77,29.7163,40.8653,119.157,11.2354,24.7566,265.952,59.5987,64.6959,224.191,38.0798,52.6731
